BuildingType,RC,WallArea,surfaceArea,OverallHeight,Orientation,GalzingArea,GlazingAreaDistribution,HeatingEnergykwh,CoolingEnergy
0,0.99999585,201.2,1339.2,2,2,12.1,0.060139165,3282.689057,1497.007026
8,0.744529875,2766.8,7111.4,1,7,205.8,0.074381957,41750.02544,4457.317906
3,0.99999585,764.5,1902.5,2,7,91.6,0.119816874,1679.883374,2632.364352
8,0.744529875,2766.8,7111.4,1,7,308.7,0.111572936,599.0372674,5365.838224
0,0.99999585,201.2,1339.2,2,4,30.2,0.150099404,2097.802721,967.1345315
8,0.832924253,1898.8,4119.2,1,1,149.0,0.078470613,2784.468237,4418.925596
8,0.670787006,3639.4,10529.8,1,1,340.8,0.093641809,16275.40881,6817.419234
6,0.871514547,1170.2,2398.2,1,4,140.4,0.119979491,1869.793428,3456.773273
2,0.962018974,201.2,1339.2,3,4,36.2,0.179920477,1052.125142,1473.26827
8,0.773567127,2494.4,6132.4,1,7,137.7,0.055203656,9798.245089,4188.278664
8,0.995742895,1946.0,2795.0,2,3,233.3,0.119886948,12512.96241,95.24809781
4,0.995949589,684.8,684.8,2,6,102.7,0.149970794,2184.551757,1084.656031
6,0.871514547,1170.2,2398.2,1,1,140.4,0.119979491,749.9688686,3634.374341
8,0.979627785,2629.8,4126.8,2,7,219.7,0.083542475,22624.79354,9356.586987
8,0.99048919,1233.0,1587.4,2,0,107.2,0.086942417,12969.27407,3569.312564
6,0.906940775,991.2,1872.2,1,1,178.4,0.179983858,4663.053798,2597.781966
8,0.871514547,1429.0,2945.0,1,7,62.8,0.043946816,11075.15574,3653.42396
8,0.988418785,2588.2,3965.7,2,7,252.9,0.097712696,4310.782372,7638.604373
8,0.937146424,1175.2,2097.2,1,7,133.8,0.113852961,112.2462199,2683.065647
8,0.988418785,2355.6,3573.6,2,7,396.7,0.1684072,15167.01402,4172.452826
8,0.995742895,2064.0,3013.2,2,0,233.3,0.113032946,18438.85945,5272.934694
8,0.744529875,2381.0,6081.6,1,4,173.0,0.072658547,16235.55115,6543.690855
5,0.434880813,487.9,487.9,21,4,146.4,0.300061488,1004.940699,2612.142448
8,0.988418785,2811.6,4351.7,2,7,189.9,0.067541613,14194.89729,8768.393349
8,0.871514547,912.8,1599.2,1,2,99.2,0.108676599,10897.55468,0.0
8,0.988418785,2811.6,4351.7,2,4,252.9,0.089948784,20222.48998,3198.870731
8,0.988418785,1253.6,2471.6,2,4,225.6,0.17996171,20465.15283,6212.227474
8,0.832924253,1318.0,2743.0,1,7,75.5,0.057283763,17734.60967,1122.75527
5,0.875751516,174.3,174.3,4,0,26.1,0.149741824,936.3620692,1581.704566
5,0.783427751,148.8,148.8,5,7,44.7,0.300403226,90.26588961,2017.794318
8,0.995742895,2512.8,3775.0,2,2,277.6,0.110474371,6951.645785,4707.600601
8,0.928814344,2417.0,5862.2,2,4,348.5,0.144187009,9152.902593,5780.826859
8,0.995742895,2512.8,3775.0,2,6,277.6,0.110474371,17023.03311,5951.394222
2,0.92112127,148.8,771.8,3,4,13.4,0.090053763,989.9940751,1766.632411
6,0.744529875,1921.2,5231.2,1,2,173.0,0.090047887,9259.287391,2173.121985
7,0.997882701,1044.3,1531.7,2,7,56.7,0.054294743,2105.715639,2429.852243
8,0.968042554,3402.8,5575.2,2,4,235.8,0.069295874,547.163688,3814.319978
8,0.773567127,2100.0,5094.0,1,0,259.2,0.123428571,3232.573904,5339.461828
0,0.784345086,406.6,406.6,4,4,122.0,0.300049188,4063.723459,1393.259867
2,0.943945833,487.9,487.9,3,2,29.3,0.06005329,1201.884459,1796.232589
8,0.928814344,4373.8,7819.0,2,4,309.1,0.070670813,3125.016821,4080.135439
7,0.873464516,1058.9,2408.3,1,6,141.7,0.133818113,1996.986272,1438.099741
8,0.832924253,1611.8,3510.2,1,2,123.8,0.076808537,17512.4618,5003.895452
2,0.880032866,201.2,1339.2,1,1,30.2,0.150099404,1193.385398,1882.102412
8,0.871514547,1340.8,2713.8,1,1,140.4,0.104713604,3636.425839,2648.483261
0,0.989937806,416.7,1039.7,2,6,62.5,0.149988001,686.9585885,1471.509843
8,0.832924253,1611.8,3510.2,1,4,123.8,0.076808537,12990.37518,2587.81755
8,0.832924253,1376.0,3074.0,1,3,82.4,0.059883721,20366.38788,4833.328089
8,0.871514547,1170.2,2398.2,1,7,175.4,0.149888908,3755.119622,790.4126762
4,0.99999585,563.3,1701.3,2,5,168.9,0.299840227,1610.13246,4278.544554
8,0.928814344,4373.8,7819.0,2,5,206.0,0.047098633,1325.853522,1391.501441
8,0.871514547,1340.8,2713.8,1,1,140.4,0.104713604,4811.933901,7155.91632
8,0.832924253,2027.8,4570.2,1,3,108.0,0.05325969,2096.337364,3261.294869
8,0.995742895,1347.6,2609.8,2,4,156.2,0.115909766,3765.084038,2842.203238
3,0.997557105,662.2,662.2,2,7,198.7,0.300060405,1688.089364,2171.949701
0,0.997557105,487.9,1341.9,2,1,146.4,0.300061488,3501.906218,1588.738272
8,0.995742895,1667.4,2300.2,2,4,143.2,0.085882212,5935.861456,4457.904048
8,0.995742895,2512.8,3775.0,2,6,221.8,0.088268067,2425.749248,5340.341041
8,0.832924253,2027.8,4570.2,1,7,108.0,0.05325969,12593.85002,6976.263754
7,0.997882701,498.0,934.0,2,7,59.7,0.119879518,8608.669615,2883.233189
8,0.99988623,1740.0,2426.4,2,4,148.8,0.085517241,13373.71215,1907.892667
8,0.832924253,1376.0,3074.0,1,4,165.2,0.12005814,19755.04162,7892.990062
8,0.968042554,3466.7,5776.3,2,3,227.1,0.065508985,15090.52247,5749.761325
8,0.99988623,2142.0,3029.6,2,1,298.0,0.139122316,1691.899288,7687.840312
7,0.907960859,352.2,1327.2,1,1,105.6,0.299829642,7754.953588,354.6159949
8,0.928814344,3917.8,7041.0,2,4,317.9,0.081142478,38876.17053,2909.609585
7,0.873464516,414.4,1621.4,1,4,62.2,0.150096525,1345.196212,1597.530404
8,0.979627785,2827.8,4454.8,2,1,211.0,0.074616309,32030.03033,5967.806202
8,0.871514547,1340.8,2713.8,1,1,70.2,0.052356802,575.5915818,1984.970358
8,0.801044342,1850.6,4605.6,1,5,411.2,0.222198206,12896.29937,7248.233708
8,0.801044342,1861.2,4297.4,1,7,280.6,0.150762949,18093.9148,3937.409828
8,0.871514547,912.8,1599.2,1,1,74.4,0.08150745,1189.868545,1232.070779
8,0.995742895,2512.8,3775.0,2,0,277.6,0.110474371,12184.13667,7900.023767
3,0.997557105,662.2,1516.2,2,6,59.6,0.09000302,1035.713162,1022.524964
8,0.871514547,1170.2,2398.2,1,1,210.6,0.179969236,8644.717357,7444.005182
8,0.968042554,3466.7,5776.3,2,6,378.8,0.10926818,11231.94876,3835.421096
8,0.937146424,928.8,1637.6,1,1,126.0,0.135658915,1382.709309,1202.470601
